index,term,polarity,termFrom,termTo,context
724,ipad,2,19,23,JrMozart Bought an ipad . Love it .
725,snoop dogg,1,45,55,Iremember when my dad and brother went too a snoop dogg concert and me and my sister went too and that 's when I got on my1st rollercoaster lol
726,iphone,1,64,70,looking to compile twitter responses for favorite . educational iphone and mac apps . please . tweet them with eduappfav . thanks !
727,hillary clinton,0,35,50,"LankaWeb : Moral cries and lies of hillary clinton : H . L . D . Mahindapala On September 30 , 2009 , UN Secu . ."
728,nicki minaj,2,7,18,I like nicki minaj and the Brat idk why just because the Brat killed the freestyle people act like Nicki is losing
729,lindsay lohan,1,43,56,musicmonday confessions of broken hearth - lindsay lohan
730,barack obama,1,34,46,This week 's online poll : Should barack obama have been given the Nobel peace prize ?
731,wii,0,73,76,"i am going freaking nuts ... i hate watching kids play mario kart on the wii , i want to scream and pull out my hair !!"
732,lindsay lohan,2,44,57,"lohan mock dating video : as it turns out , lindsay lohan is a pretty good sport . lalohan teamed up with funnyordi . ."
733,lindsay lohan,1,0,13,lindsay lohan : fendi boots fierce -LRB- just jared -RRB- - x.fr / y5t
734,xbox,1,32,36,"halo waypoint launches today on xbox live : by eddie makuch if you 're like me and ca n't get enough halo , . ."
735,demi lovato,0,20,31,okay first he hates demi lovato then taylor swift and now he thinks they should commit suicide ?? that michael crook need to STFU !
736,lindsay lohan,1,55,68,"- at least you can prank call people and pretend to be lindsay lohan . get well soon , cant wait for a new video !"
737,demi lovato,1,0,11,"demi lovato , Katy Perry , and Kristen Stewart all love surfing . CelebsFacts"
738,lakers,0,31,37,I hate how niggas that use the lakers bitch about people playing with the Heat . you mad cause niggas have a equal team to play with ?
739,ipod,2,21,25,"what i love about my ipod touch and i guess in general for most portable players , is the rediscovery of my music"
740,britney spears,1,22,36,lucky -LRB- see -RRB- britney spears ... >> > this is a story about a girl named lucky ... ... early morning . she wa . .
741,lindsay lohan,1,0,13,lindsay lohan twitters about her love for ronson : photo : lindsay lohan posted tweets on her twitter claiming th . .
742,ipod,0,9,13,"since my ipod wo n't fcken show up on itunes , i am now forced to listen to the beatles , okay : -RRB-"
743,harry potter,2,7,19,I love harry potter so much . Hermoinie is my babe .
744,iphone,1,31,37,semms like imma have to get my iphone replaced again ... this can not be real
745,ellen degeneres,1,18,33,I am watching The ellen degeneres Show . GetGlue TheEllenDeGeneresShow
746,jimmy carter,0,107,119,"which party gave screenshot payments to immigrants , even though they never put a dime into it ? dem under jimmy carter . tcot tlot"
747,google wave,2,24,35,could anyone spare me a google wave invite ? pretty please ? googlewave
748,hillary clinton,1,52,67,Watching Jeopardy ! -LRB- true confession -RRB- and hillary clinton just presented an entire category . She 'd make a good game-show host ...
749,charlie sheen,1,0,13,"charlie sheen is tweeting this - We all love deals , well how about 5 % back for FREE ."
750,stephen colbert,0,81,96,"Our podcast with billmckibben of 350 . org talks climate , Clean Air Act and why stephen colbert is a little scary : ."
751,britney spears,2,8,22,"lucky , britney spears . pretty song . ♫ ~ eqo5a"
752,sarah palin,1,91,102,Will Rep. Wildberger leaving his job a year early draw as much ire from local democrats as sarah palin did ? no !
753,hilary swank,1,78,90,as much as i am fascinated by amelia earhart i refuse to watch any movie with hilary swank .
754,mc hammer,0,111,120,"'' Cast your cares on the Lord and he will sustain you , he will never let the righteous fall . Unless you 're mc hammer . '' Psalm 55:22"
755,kim kardashian,2,64,78,Compared to my sister I think I got an amazing idol . . Hers is kim kardashian : / lol
756,britney spears,1,19,33,john & edward sang britney spears . i sincerely hope you do n't still like them ; |
757,harry potter,1,23,35,ha ! Veriserum ! Lol a harry potter thing . Idk if you like harry potter but its a truth potion lol
758,lady gaga,0,33,42,"LovingNickJ :P i don really like lady gaga tbh , some of her songs are okay but i think a lot of her songs sell because of what she wears x"
759,ipod,2,81,85,"i love this . . boyfriend is watching football , baby is sleeping . . i 'm on my ipod headphones on listening to jordanknight so relaxing !"
760,harry potter,1,8,20,watched harry potter all day bloody hell i love saying that XD
761,hillary clinton,0,0,15,hillary clinton Says She Wo n't Run for President Again . It is kind of terrible that there is a shelf-life for ...
762,kindle,2,6,12,"yes , kindle is awesome for travel"
763,nicolas cage,1,8,20,how can nicolas cage go from ' leaving las vegas ' to tripe like ' knowing ' . i want the last two hours of life back .
764,iphone,1,32,38,time to change from the default iphone ringtone as i 've conditioned myself to ignore marimba since everyone else uses it .
765,hillary clinton,0,59,74,BONK BONK BONK BONK BONK -LRB- That 's the sound I imagine hillary clinton ' is head made banging against the wall this morning . -RRB- -LRB- via rachelsklar -RRB-
766,xbox,2,24,28,listening to last fm on xbox live is actually pretty cool . : -RRB-
767,lindsay lohan,1,44,57,i like how they do that now ! i do n't like lindsay lohan but i 've noticed the same person dubs her in every movie !
768,google wave,1,0,11,google wave is the new google product that is best explained by video demostrations - wave.google.com
769,lakers,0,107,113,RT Mr_Jay_Loso : 5 rings and 10 years ! fuck you buddy ! Lmao RT K1ng_Gemini : RT PlayWitMyMonkey FUCK The lakers YeahISaidIt < lmao . .
770,lady gaga,2,12,21,do you like lady gaga -- No I love her .
771,jimmy carter,1,82,94,black republicans say 2010 will be their year - -- quote -- when former president jimmy carter said racism was an ...
772,windows 7,0,29,38,"get rid of your old , boring windows 7 look :"
773,barack obama,2,71,83,I 'm not American but I fully support the health reform that President barack obama wants to do :
774,bill gates,1,95,105,why does microsoft word auto format my header to take up the entire page of my document ? does bill gates want me to kill myself ?
775,xbox,1,51,55,"now that no longer feel like taking a hammer to my xbox , on with dragon age ! thanks , everyone ."
776,lindsay lohan,0,20,33,"textsthatgetnoreply lindsay lohan ' s a fake l esbian and is a cry baby . -LRB- at least , they would n't get one from me if i had a cell phone . -RRB-"
777,harry potter,2,22,34,Is watching the first harry potter :-RRB- . Got ta love that film : D
778,iphone,1,0,6,"iphone restore went smoothly , which i 'm pleased about . i hope it makes a difference ."
779,micheal jackson,1,59,74,'' I thought God was white ? '' '' well what if he 's like micheal jackson & he 's EVERY color ? '' '' ben ? did you just compare micheal jackson to God ? ''
780,lindsay lohan,2,32,45,watching just my luck :d i love lindsay lohan < 3
781,snoopdogg,1,39,48,G 's gon na help Tohoku . Help Japan - snoopdogg & Neff Headwear . via neff_headwear
782,lindsay lohan,1,17,30,when you compare lindsay lohan pre and post cocaine - her looks have improved . if you like that look .
783,madonna,0,44,51,Obama winning the nobel peace prize is like madonna winning an award 4 '' being like a virgin '' -LRB- via CrabbyCon -RRB-
784,madonna,1,29,36,< - HYPERVENTILATING . gag & madonna ON SNL TOGETHER ! the gay man in me has died and has gone to transexual heaven
785,sarah palin,1,46,57,Levi Johnston Has Turned Stripper : The whole sarah palin phenomena has become the joke that just wo n't go . .
786,jimmy carter,0,13,25,q . why will jimmy carter vote for barack obama ? a . because carter does n't want to be the worst president in history .
787,dave matthews,2,62,75,"Video : Mike Doughty : Tremendous Brunettes Mike Doughty with dave matthews , This make smile and think about ... ."
788,britney spears,1,74,88,all the latest celebrity news from hollywood : lady gaga 's solo tour and britney spears goes number one
789,kindle,1,45,51,"nook international , reader from creative `` kindle review -- kindle ... : displaying a working model of its first . ."
790,sarah palin,0,89,100,"Worst case scenario : Taliban and Al-Qaeda retake Afghanistan , overthrow Pakistan , and sarah palin is elected President . What -- Me Worry ?"
791,wii,2,4,7,"the wii is just ace . teething problems with the box , give it another go got the cold light of day ."
792,britney spears,1,97,111,good morning . wtf ?!? seriously some people need to get a live & leave me the fuck alone.im not britney spears so stop talking me please thanks bye
793,snoop dogg,1,23,33,NP This Weed Is Mine - snoop dogg Feat . Wiz Khalifa
794,nicki minaj,2,37,48,die beat van sexrap is van mohobi en nicki minaj - hold you komjeerachter
795,iphone,1,53,59,rt regsecurity world 's first -LSB- jailbroken -RSB- iphone worm rickrolls angry fanbois -LSB- because jailbreaking opens ssh -RSB-
796,lady gaga,1,54,63,"GagaMonster013 ahah , i know right ? i guess you love lady gaga ? ♥"
797,obama,0,28,33,"your partner cheats , blame obama . your kid fails a test in school , blame obama . your girl is pregnant , not the father ? Just blame obama"
798,britney spears,2,4,18,the britney spears song ' 3 ' is the best i 've ver listened to !
799,madonna,1,16,23,"I bought an old madonna LP the other day for . 99 , I 'm gon na clear $ 10 after fees ."
800,britney spears,1,17,31,just found out a britney spears porn site is following me . how do they keep finding me ? like 15 followed my old twitter !
801,lady gaga,0,25,34,2 things I hate : Glee & lady gaga ** waits for those with out a penis and those who like penis in butt to tell me I 'm wrong & a jerk **
802,windows 7,2,0,9,windows 7 is the best non-unix based os i have ever used . you should be very happy together .
803,lindsay lohan,1,39,52,watching snl - debbie downer featuring lindsay lohan video - buzznet at vodpod
804,britney spears,1,0,14,britney spears - behind the scenes outrageous
805,lakers,0,30,36,RT PlayWitMyMonkey : FUCK The lakers YeahISaidIt
806,xbox,2,7,11,"get an xbox :p try operation flashpoint 2 , it 's even more amazing . it 's just harder"
807,psp,1,46,49,gamebrahma.com : sony : blame ps3 for lack of psp games
808,sarah palin,1,76,87,"Hannity the hypocrite loved the SNL skit on Obama but hated the SNL skit on sarah palin , ca n't have it both ways nitwit ! ha"
809,ashton kutcher,0,122,136,I wonder how irritated actual organizations that try to stop child sex slavery are by those idiotic ads by Demi Moore and ashton kutcher ?
810,psp,2,35,38,was hoping they 'd give out a free psp at the psp go event like they did we 3000
811,shakira,1,15,22,Check it out : shakira Addicted To You Lyrics - Addicted To You Lyrics Shaikra Title : Addicted To You Lyrics Artist : ... .
812,lindsay lohan,0,0,13,"lindsay lohan is a naughty girl again - back to court she goes , maybe back to jail too"
813,britney spears,2,0,14,britney spears ' new single '' 3 '' has an incredibly addicting beat . i officially love it ...
814,madonna,1,13,20,Lady gag and madonna passionately kissed on their intro skit this weekend
815,justin bieber,1,25,38,Mau Tiket Gratiis Nonton justin bieber ... Klik Here . ...
816,britney spears,0,0,14,britney spears is a singer -LRB- and not a very good one -RRB-
817,justin bieber,2,38,51,Check this video out -- Next 2 U ft . justin bieber - Chris Brown -LRB- Lyrics in Des . -RRB- . via youtube OMB best song ever
818,britney spears,1,15,29,daily gossip : britney spears in love
819,barack obama,0,0,12,"barack obama A person who acts in a manipulative and devious way , To Baffle YOU With Bull Shit and gain your trust . tcot HCR Glen Beck"
820,lady gaga,2,43,52,gagafan1112 I was n't saying I do n't like lady gaga . . I LOVE lady gaga . I just thought it was funny . -LRB- :
821,britney spears,1,63,77,is saying shes miley . yeah . right . did you know im the real britney spears ? ha ha ha . okay . but its fun reading her tweets . lol
822,john mccain,1,88,99,":-RRB- Courage is not the absence of fear , but the capacity to act despite our fears . john mccain"
823,lindsay lohan,0,47,60,rip lou albano . gone but not forgotten . like lindsay lohan ' s tits .
824,google wave,2,15,26,learning about google wave . really excited for it . work will be much better when these types of tools are commonplace .
825,steve jobs,1,90,100,cthagod is famous for his impressionist paintings and and he started apple computers with steve jobs .
826,madonna,1,14,21,Guy Ritchie : madonna is retarded but I still love her : Guy Ritchie says he is still in love with madonna even t . .
827,charlie sheen,0,129,142,congratulations to all for a great con gmn11 . Grants Managers are '' Winning the Future '' - to quote President Obama -LRB- not charlie sheen -RRB- . gmnsomed
828,harry potter,2,47,59,PUR meaning perverted underground restaurant ? harry potter night will be magical & mythical
829,britney spears,1,52,66,"ca n't get over leighton 's new single , it 's like britney spears meets goldfrapp and has amazing musical sex"
830,britney spears,1,89,103,'' are you in ? living ' in sin is the new thing . are you in ? i am counting ' ... '' - britney spears ' new song is stuck in my head . she counts a lot .
831,martha stewart,0,20,34,"Publicized cases of martha stewart , Scooter Libby , Barry Bonds and Bernie Madoff demonstrate very successful people are more prone to lying ?"
832,britney spears,2,7,21,i love britney spears ... don hate me : -LRB-
833,britney spears,1,62,76,"no drugs , alcohol , britney orders tour entourage - pop star britney spears who is going to visit australia next mon ..."
834,britney spears,1,66,80,no worries . i 'm just concerned i had to drag myself away from a britney spears film ! but i 've taped it so ...
835,lady gaga,0,21,30,Hey juice television lady gaga aint metal . WTF why just why .
836,nick cannon,2,10,21,Just seen nick cannon in real life ... That was a surprise
837,obama,1,13,18,Daily News : obama 's war of choice -LRB- The Week -RRB- .
838,mandy moore,1,56,67,"interesting , so Center Stage had more than one song by mandy moore and I never snooped ? weird"
839,obama,0,10,15,President obama is Trap ! He and his Nato Allies got in the Middle of the Libya crisis with no way Out ! TRAPFILES . COM
840,google,2,42,48,RT katie_khan : AMAZING presentation from google containing the best online creative of the year : . -LRB- / via Matt_Muir ...
841,harry potter,1,27,39,Zakbeganslover im watching harry potter now im waiting for nightmare before christmas to come on : -RRB-
842,nicolas cage,1,90,102,"if you mean where thugs went wrong with national treasure , it all started when they cast nicolas cage . the solution ? recast . ; -RRB-"
843,nick jonas,0,107,117,"Today all Joe Hoes and Stayers came together as one to cry , pervert , scream & get mind fucked by Joe and nick jonas . JoickShirtless ."
844,google,2,40,46,RT newmediamike : Amazing List Of Every google Product And How Much We Depend On Them - . - not all was good
845,barack obama,1,56,68,President meets with national security team . President barack obama continues a series of consultations on U.S. pol
846,sarah palin,1,7,18,Geez ! sarah palin ' s life just plays out like a South Park episode does n't it ? Here 's the latest :
847,katy perry,0,18,28,Russell Brand and katy perry suit each other . They 're both weird .
848,ellen degeneres,2,0,15,ellen degeneres Deemed Trustworthy for Jodi Picoult 's Fifth Film Adaptation .
849,lindsay lohan,1,3,16,"'' lindsay lohan hits rock bottom '' screams tabloid . err , really ?! thank you like rpulse truth"
850,iphone,1,29,35,im never going to perfect my iphone typinnn .
851,kim kardashian,0,25,39,i am no longer following kim kardashian . I hope this does n't ruin her day too badly .
852,lady gaga,1,26,35,Glee Extended Tonight For lady gaga Born this Way Episode -LRB- Recap -RRB- : On Tuesday Glee Extended Ton ... .
853,micheal jackson,1,20,35,wow my mom got me a micheal jackson poster and wow another poster of taylor lauter
854,obama,0,15,20,"We do n't want obama , it 's my understanding that the polls show the American people do n't want it . This is a democracy obama ! AMERICA !"
855,justin bieber,2,0,13,justin bieber with Chris Brown ... '' Up '' and '' Next to You '' both love
856,britney spears,1,12,26,you can add britney spears track 3 to my list of guilty pleasures .
857,wii,1,0,3,"wii fit naked is not a good look for a man ! so im told , damm neighbors"
858,ipad,0,56,60,renaissance _ Apple Survey - All Apple products Stink ? ipad sucks ? freebies .
859,nicolas cage,2,9,21,"this new nicolas cage , ever mendes , n xzibit movie is looking like it could be real good '' bad lieutenant ''"
860,harry potter,1,33,45,XDD I was totally thinking about harry potter when I read your tweet . ha YES ! Do it ! I 'll love you forever !
861,obama,0,58,63,oops ! Mitt Romney accidentally embraces key provision of obama 's Health Care Law . . p2 tcot teaparty
862,lindsay lohan,2,30,43,thm i really do actually like lindsay lohan movies - please do n't hold that against me
863,micheal jackson,1,13,28,inhighschool micheal jackson was the truth
864,iphone,1,55,61,quite impressed with real racing from firemint for the iphone . smart of vm to sponsor a free version too !
865,lady gaga,0,71,80,"How I 'm Gon na Tell My Baby Bye Bye , Outfit Look Crazy On You You My lady gaga !"
866,lakers,2,0,6,lakers !! hell yeah !! You get more and more awesome everyday !! RT sarliz88 : CANT WAIT FOR BASKETBALL SEASON !!! lakers !!!
867,britney spears,1,110,124,wow at broads sending me myspace requests with '' want a handjob ? '' on the comment box lol they must be the britney spears ho bots on there !
868,harry potter,1,4,16,the harry potter cast has grown so much since the first one . they were so cute and adorable !
869,sarah palin,0,111,122,All i know is my niggas better be on their shit on friday because I 'm coming at chicks ' necks as if they was sarah palin ... Keep them glasses on
870,madonna,2,10,17,Who needs madonna or Beyoncé when you have Kylie ! She ´ s much nicer and better singer ! Her concert is a blast !
871,britney spears,1,51,65,"megan fox fears no longer get on a plane thanks to britney spears , because she hears one of her songs when she is in a plane ."
872,ipod,1,81,85,i have a magnavox clock radio that works pretty good ... and a jensen one for my ipod ... hope that helps
873,iphone,0,83,89,"this bitch just farted next to me . . did n't warm me , just stayed playing on his iphone !!! muthafuck . fart robot approves ."
874,wii,2,41,44,we both know i need the exercise !!! but wii is fun as hell for real . i even got kristian trying to bowl
875,john legend,1,64,75,"NP '' Decision '' bust Rhymes ft . Jamie fox , Mary J . Blige , john legend , and Common ."
876,barack obama,1,6,18,"'' If barack obama were somehow able to cure hunger ... , the Republicans would blame him for overpopulation '' - AlanGrayson"
877,obama,0,73,78,"Morning everybody ... In response to entering America into another war , obama cutting his vacay short ... by 2 hours"
878,google,2,76,82,RT openculture : Great stuff : RT karentempler : Amazing compilation by the google Creative Lab : '' The World Is Full of Interesting Things ...
879,windows 7,1,120,129,"i anticipate companies will hold onto their experience systems for as long as possible & wo n't will race to upgrade to windows 7 , flop of an operator ."
880,wii,1,66,69,just like you and reonhartbreaker and that chick that 's yall new wii partner !
881,wii,0,123,126,feeling slightly lethargic today-last night was very silly . today is all about ian and adam making fools of themselves on wii fit ...
882,lindsay lohan,2,21,34,"dunno why but i like lindsay lohan , she 's my favorite '' celebrity '' . lindsaylohan"
883,madonna,1,45,52,Stacey Q Two of Hearts sounds sooo much like madonna '' I need you I need you '' I remember her cameo on the facts of life :-RRB- !! Roller tutti
884,obama,0,0,5,obama thinks that '' ideas '' alone will cause victory against terrorists and madmen ? What an utopian absurd belief .
885,harry potter,2,7,19,I love harry potter movies : -RRB-
886,harry potter,1,75,87,"Too funny ! folks , get off obama 's back . people treating him like he 's harry potter , and he put his name in that hat . sheesh"
887,bill gates,2,14,24,"I really like bill gates , his foundation has done a lot for the world , and it is even doing great things for America"
888,ipad,1,104,108,"tnsdigitallife Awesome job , guys ! Any chance I 'll ever be access the pretty little interface from an ipad ?"
889,ipod,1,71,75,ge shows healthcare breakthrough with a mini ultrasound the size of an ipod .
890,kim kardashian,0,0,14,kim kardashian is the dumbest omg
891,wii,2,25,28,i think i shall play the wii for a while . after i watch friends of course
892,britney spears,1,11,25,i love how britney spears ' s kids names are sean and jayden . familiaaarrrr x -RSB-
893,sarah palin,1,87,98,your way left of most but i think you can secretly support a 2012 ticket of RON PAUL & sarah palin :-RRB- sshh it 'll be our secret !
894,justin bieber,0,10,23,Me ? Love justin bieber ? I would n't dream of it !
895,nicki minaj,1,35,46,I 'm listening to '' Save Me '' by nicki minaj -LRB- . -RRB- pandora
896,lindsay lohan,0,0,13,"lindsay lohan news lindsay lohan : ungaro 's ugly , budget pasties were n't my idea : fresh off th . ."
897,britney spears,2,46,60,well at least you can use itunes and download britney spears ' 3 ' 10 times ; -RRB-
898,psp,1,12,15,speaking of psp ' s would you recommend getting a 3000 over a dsi ?
899,madonna,1,57,64,SO IM CHECKING AT THE BODIES AND YOU KNOW IM SATISFIED . madonna ' is American Life is the shit . I love it . MM
900,micheal jackson,0,24,39,i got that good good im micheal jackson bad he attracted too me with my attractive ass ...
901,britney spears,2,72,86,britneyspears news ! britney breaks billboard record ! : good for her ! britney spears ' latest . .
902,tiger woods,1,59,70,Guess it would b neat if I were into golf which I 'm not . tiger woods will be here . Maybe I can get a glimpse of the billion dollar man .
903,micheal jackson,1,108,123,: okay we must make a girl day =-RRB- are you listening Crank it up . ? i hear music too =-RRB- i listening micheal jackson
904,harry potter,0,12,24,abcfamily . harry potter . fuck yeah .
905,demi lovato,2,18,29,I 'm sorry but if demi lovato leaves SWAC ... its not even going to be worth watching . She is the main character .
906,madonna,1,51,58,skywaterblue I really think she this generation 's madonna . Hopefully without the annoying British phase . / / 100 % agreement
907,britney spears,1,30,44,"3,401 tweets * __ * ♫ music - britney spears - 3 / / pity - me adora / / lady gag - bad romance ♫"
908,john mccain,0,71,82,"The fanatic Zionist and inciter against Muslims during 2008 campaign , john mccain , went to Libya to support '' freedom '' ."
909,barack obama,1,47,59,Just read a brilliant piece by Peggy Noonan on barack obama and Peace Prize fiasco
910,steve jobs,1,14,24,Please Digg : steve jobs is more popular than Oprah
911,steve jobs,0,84,94,looks like disney stores are gon na be a lot more like Apple Stores -LRB- thanks to steve jobs -RRB-
912,harry potter,2,51,63,At the movies with reanna cale and harley watching harry potter and the deathly hallows :-RRB- its great so far
913,britney spears,1,40,54,edward and john grimes do n't do a good britney spears in drag . . in fact they don do a good anything
914,sarah palin,1,81,92,"Though I walk through valley of shadow of death panels , I will fear no evil for sarah palin art with me ConservativeBible"
915,obama,0,22,27,Newt Gingrich Assails obama Over Libya Policy -LRB- VIDEO -RRB- . obama
916,justin bieber,2,35,48,Set my dads ringtone to love me by justin bieber and it went off in Walmart and everyone was staring at him Hahaha : -RRB-
917,iphone,1,4,10,lol iphone plan is like a car note .
918,psp,0,102,105,"i can go any page , star any tweet , and search any name on twitter , but i ca n't even tweet from my psp !!! that just sucks !"
919,nicki minaj,2,0,11,nicki minaj 's music really brings out the independent sassy black woman inside of me .
920,barack obama,1,0,12,barack obama ' is accomplishments according to SNL
921,harry potter,1,48,60,THIS HIGHLY OFFENSIVE ! I could totally destroy harry potter . RT
922,ipod,0,35,39,"na na na na everyday it 's like my ipod stuck on replay , replay-ay-ay-ay ..."
923,kim kardashian,2,54,68,'' Red Light Special '' still makes me want to go all kim kardashian on somebody like I should be working a corner on Harry Hines .
924,madonna,1,16,23,"It felt right & madonna told me to do it , apparently is n't a valid excuse for anything . Except stealing Malawian babies & making bad movies"
925,ipod,1,61,65,need help from pln : working with school to devlp prgrm with ipod touch in stud . hands . what uses must be included ? what app/programs ?
926,justin timberlake,0,43,60,Justin Bieber is a crap singer ? Usher and justin timberlake were fighting over him
927,britney spears,2,20,34,kisses and hugs for britney spears today . love has came back around to you my love congratsbritney
928,xbox,1,0,4,xbox live : el verdad is currently online . playing rock band 2 . drums solo quickplaygetting ready to rock . -LRB- xbox live nation -RRB-
929,wii,1,12,15,"well if the wii fit tells him he 's fat , he might get depressed and start eating more ; -RRB-"
930,oprah,0,14,19,i really hate oprah . i really do
931,britney spears,2,29,43,listening to a song i love : britney spears - blur
932,ashton kutcher,1,0,14,ashton kutcher Chilling with LB .
933,harry potter,0,21,33,kchurch03 lol I hate harry potter . Are you going out tonight ?
934,souljaboy,2,23,32,Mamma I wan na be like souljaboy when I grow up !
935,kindle,1,13,19,is an amazon kindle good for a 12 year old ?
936,sarah palin,0,0,11,sarah palin got a degree in journalism . She 's dumb as fuck . Depends wt your studying abd wt college . Good Job anyway . your rare
937,britney spears,2,17,31,"im blasting 3 by britney spears into my ears ... wow seriously its super high quality , super clear & really addictive !"
938,ipod,1,49,53,my friend is the best i think ? he just reset my ipod touch after my cous locked it !!!
939,oprah,1,34,39,i wonder how many niggaz will eat oprah pussy lol
940,obama,0,14,19,Awwwwww . The obama Family Vacation / Spring Break is cut short due to a few trivial matters concerning the future of our country .
941,justin bieber,2,40,53,Vita Carminis : Pro-Life & A New Fan of justin bieber - vitacarminis : .
942,hillary clinton,1,52,67,"Girl has down time , I guess : RT GottaLaff VIDEO : hillary clinton starts peace talks ... between Conan & CoryBooker"
943,wii,1,23,26,"this article says that wii sales are down because of no good games , but everyone pretty much has a wii already , thats why !"
944,justin bieber,0,69,82,Ahhh haley thats horrible ! I don like louis tomillson !! D : HE HAS justin bieber HAIR
945,britney spears,2,28,42,my new favorite song : 3 by britney spears . love it ! lol .
946,madonna,1,83,90,Warner to begin selling advertising across the web in music videos by artists like madonna
947,xbox,1,22,26,gaming purposes -LRB- xbox live -RRB- plus i like to meet new people
948,jimmy carter,0,22,34,"i find it ironic that jimmy carter worked for 20 years to earn the nobel peace prize , the dalai lama for 40 years ."
949,miley cyrus,2,6,17,Happy miley cyrus 's Day To All smiles ! We are like a family ♥
950,charlie sheen,1,3,16,Is charlie sheen headed to Fox -- or back to ' Two and a Half Men ? ' - Detroit Free Press .
951,john boehner,0,0,12,john boehner is an immoral clown not fit to serve in Congress and not smart enough to speak in public .
952,lady gaga,2,0,9,"lady gaga Please follow me diva ? , you are amazing lady gaga , i love you ♥ Follow me please * -- *"
953,britney spears,1,47,61,"thanks to danecook , i know way too much about britney spears ' s vagina . awesome show , btw ."
954,wii,1,27,30,i remember buying my first wii at toy are ' us . it was hectic and so long ago . random
955,britney spears,0,11,25,"'' 3 '' by britney spears is pretty dope , plus it deputed at number 1 , kudos 2 her"
956,miley cyrus,2,14,25,I do n't hate miley cyrus - _______ - and i love Hannah Montana .
957,sarah palin,1,32,43,MT UKProgressive : Challenge to sarah palin : Produce YOUR Academic Papers | Crooks and Liars . | Brilliance from karoli
958,britney spears,1,15,29,little wayne & britney spears now thats hot ! young muuuuullllaaaaa bbaaaabbbaaaayyyy ha love it
959,psp,0,43,46,is having the most frustrating time with a psp dev kit ...
960,madonna,2,0,7,"madonna brava was great ! And twas nice to see so many friends in ccp . Tonight was a good , good night ! - Update via SMS using"
961,harry potter,1,50,62,that 's hilarious !! I love when people reference harry potter : - -RRB-
962,britney spears,1,0,14,britney spears and little ' wayne - bad didar
963,ipad,0,67,71,neiledmundson Apple Survey - What do you think of Apple products ? ipad sucks ? freebies .
964,conan o'brien,2,58,71,"Late Night with Jimmy Fallon : Following the promotion of conan o'brien to the host of the Tonight Show , Saturday Night live ... nycevents"
965,google wave,1,0,11,google wave is a lonely place . : - -LRB-
966,martha stewart,2,36,50,"I wo n't even lie , I like watching martha stewart Easter specials . Like , how to paint eggs and stuff ."
967,xbox,1,66,70,"i realize people do n't like what blizzard has done , but look at xbox , phone , and ps3 microtransactions . it 's been in everquest for years . not new"
968,ipod,1,96,100,the horrors new video is fucking weird . i love it though and i 'm downloading the video for my ipod now : d
969,sarah palin,0,0,11,sarah palin is a disgrace & an embarrassment to thinking women everywhere . Her inevitable implosion will be spectacular palin12
970,selena gomez,2,80,92,"Selly G is a great rapper ! i love her and I admire her !! , but my heart is of selena gomez ! I am sorry Selly G , :-RRB- I support you"
971,hillary clinton,1,71,86,Why is it more interesting to find the ancestry story of Michelle than hillary clinton ? What can I get from this stuff ?
972,barack obama,0,0,12,"barack obama 's FATHER , also named Barack , was born in Kenya , NOT PRESIDENT Barack . GET YOUR FUCKING FACTS RIGHT . -LRB- :D -RRB-"
973,britney spears,2,42,56,the whole time i have to sing ' lucky ' - britney spears . such a good song . ' this is a story about an girl named lucky ' ♥ ♥ ♥
974,john mccain,1,54,65,McCain calls for greater help for Libya rebels : Sen. john mccain called Friday for the world to provide greater support to Libya 's reply ...
975,lindsay lohan,1,0,13,lindsay lohan blasts samantha ronson and friend carlos lopez on twitter -
976,charlie sheen,0,64,77,This '' winning '' ish getting OLD quickly ... especially after charlie sheen ass kissed another man . umNO
977,john mayer,2,0,10,john mayer and brad paisley collaborations are so great bestofbothworlds
978,jimmy carter,1,26,38,so the phó place right on jimmy carter by the hong kong supermarket is really good
979,george bush,1,68,79,i love that obama got the nobel peace prize basically for not being george bush . that 's how much bush altered the global climate .
980,lindsay lohan,0,25,38,i 'm such a bad driver ! lindsay lohan wannabe ! bad baaaaaad driver hahaha
981,nicki minaj,2,56,67,i could n't see that thang thang with a microscope * my nicki minaj voice *
982,iphone,1,2,8,5 iphone accessories we 're still waiting for : along the same lines of the universal remote dongle above -- with . .
983,sarah palin,1,8,19,"Own the sarah palin box , An American Treasure : Own a genuine piece of real American history ! Brace yourselv . ."
984,google,0,0,6,"google , I hate you . You make it quite hard to hear the conversation ."
985,john boehner,2,49,61,Boring Functionary Eric Cantor Trying To Destroy john boehner : The Republican Party has no talent . Al ... . - Freedom !
986,barack obama,1,36,48,Obama seeks advice on Afghanistan : barack obama prepares to meet senior advisers as the US marks ei . .
987,britney spears,1,70,84,lead singer from chicago and muddy waters helping me write a song for britney spears .
988,nicolas cage,0,12,24,ahem . . '' nicolas cage gets freaky in ' bad lieutenant ' '' o_o now what the hell
989,lindsay lohan,2,4,17,omg lindsay lohan . they are soooo beautiful !!! really love this new your leggings ... great job lindsay !!!! :-RRB- baci bella
990,britney spears,1,0,14,britney spears ' ex-bf pleads no contest to leaving scene of accident
991,madonna,1,90,97,Swedish movie star MALIN AKERMAN is keen to follow in the footsteps of ANGELINA JOLIE and madonna and adopt a child from Africa .
