index,term,polarity,termFrom,termTo,context
398,USB port,0,114,122,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.
399,boot,0,21,25,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.
400,battery life,0,4,16,The battery life was shorter than expected.
401,fires up,2,3,11,It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.
402,keyboard,2,4,12,The keyboard is top notch.
403,software,0,134,142,It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.
404,online tutorial videos,2,4,26,The online tutorial videos make it super easy to learn if you have always used a PC.
405,image,2,4,9,"The image is great, and the soud is excelent."
406,soud,2,28,32,"The image is great, and the soud is excelent."
407,windows,0,70,77,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.
408,boot up,0,81,88,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.
409,shut down,0,92,101,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.
410,windows,0,138,145,With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.
411,Mac OS,2,83,89,It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.
412,use,2,37,40,It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.
413,cost,2,30,34,"It is well worth the money it cost, Very good investment."
414,Windows 7 Starter,1,15,32,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;"
415,Windows 7 Professional,1,66,88,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;"
416,specifications,2,30,44,This computer had exactly the specifications I needed.
417,power cords,1,33,44,My kids (and dogs) destroyed two power cords by pulling on them.
418,multi-touch features,2,131,151,"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features."
419,screen,0,4,10,"The screen is a little glary, and I hated the clicking buttons, but I got used to them."
420,clicking buttons,0,46,62,"The screen is a little glary, and I hated the clicking buttons, but I got used to them."
421,Windows,0,0,7,Windows also shuts the computer down for no reason without warning.
422,wired lan,1,10,19,not using wired lan not sure what thats about.
423,hardware,0,12,20,Now for the hardware problems.
424,hard drive,0,123,133,Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.
425,battery life,2,28,40,It's fast and has excellent battery life.
426,Apple care,1,0,10,Apple care included.
427,font,0,18,22,Features like the font are very block-like and old school.
428,Features,0,0,8,Features like the font are very block-like and old school.
429,programs,0,18,26,"It is loaded with programs that is of no good for the average user, that makes it run way to slow."
430,run,0,82,85,"It is loaded with programs that is of no good for the average user, that makes it run way to slow."
431,plastic pieces,0,74,88,"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it."
432,2GB RAM stick,1,39,52,"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time."
433,Windows,0,0,7,Windows is also rather unsteady on its feet and is susceptible to many bugs.
434,Microsoft Word for Mac,1,180,202,"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac."
435,WARRANTY COMPANY,0,51,67,DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.
436,cusromer service center,0,28,51,then on top of it all their cusromer service center is in the middle east.
437,size,0,25,29,The only bad part is the size/weight.
438,weight,0,30,36,The only bad part is the size/weight.
439,battery,0,11,18,The little battery that it did have would only last about an hour while just having it on the desktop.
440,aluminum body,2,12,25,I liked the aluminum body.
441,watching movies,2,44,59,Its good for playing my apps on Facebook or watching movies.
442,playing,2,13,20,Its good for playing my apps on Facebook or watching movies.
443,build quality,0,9,22,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple."
444,performance,0,30,41,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple."
445,dock,2,11,15,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file."
446,program,1,69,76,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file."
447,program,2,86,93,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file."
448,price,2,58,63,"Waiting for the i7 was well worth it, great value for the price."
449,i7,2,16,18,"Waiting for the i7 was well worth it, great value for the price."
450,monitor,0,11,18,"Now,,,,,my monitor has been acting up for about 2 months."
451,extended warranty,0,10,27,"Also, the extended warranty was a problem."
452,Boots up,2,0,8,Boots up fast and runs great!
453,runs,2,18,22,Boots up fast and runs great!
454,screen,2,20,26,Lightweight and the screen is beautiful!
455,driver,1,11,17,I needed a driver for my HP and they would not help me with out me paying over $50 for it.
456,tech support,1,5,17,"Call tech support, standard email the form and fax it back in to us."
457,work,0,62,66,They sent it back with a huge crack in it and it still didn't work.
458,hard drive,0,39,49," A coupla months later, they change my hard drive."
459,twin packing,2,30,42,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great."
460,functions,2,74,83,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great."
461,warranty,0,22,30,They say sorry out of warranty.
462,performance,2,36,47,I bought this laptop because of the performance to price ratio.
463,price,2,51,56,I bought this laptop because of the performance to price ratio.
464,BIOS,0,33,37,PC never worked right even after BIOS fixed.
465,design,2,114,120,"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues."
466,tech issues,2,141,152,"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues."
467,size,2,4,8,The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.
468,space,0,107,112,The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.
469,service,2,4,11,The service I received from Toshiba went above and beyond the call of duty.
470,memory,0,96,102,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc."
471,priced,0,21,27,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc."
472,internet speed,2,41,55,I would recommend it just because of the internet speed probably because thats the only thing i really care about.
473,programs,1,18,26,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
474,Garageband,1,92,102,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
475,Photo Booth,1,123,134,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
476,iPhoto,1,136,142,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
477,iMovie,1,176,182,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
478,video-editing,1,145,158,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
479,movie-making,1,162,174,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
480,photo management,1,105,121,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
481,music,1,85,90,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
482,Pages,1,53,58,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
483,Numbers,1,60,67,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
484,Keynote,1,69,76,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
485,school or office use,1,31,51,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
486,colors,2,23,29,The screen shows great colors.
487,value,2,90,95,"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%."
488,price,2,117,122,"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%."
489,value,2,220,225,"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%."
490,web cam,1,46,53,"I have no idea how to burn cd's or to use the web cam, just for starters."
491,burn cd's,1,22,31,"I have no idea how to burn cd's or to use the web cam, just for starters."
492,17 inch screen,0,4,18,"The 17 inch screen is very large, but the computer is very light."
493,support,0,89,96,"  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge."
494,Bluetooth,1,8,17,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload."
495,Drivers/Applications DVD,1,79,103,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload."
496,Launch Manager,1,57,71,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload."
497,switchable graphic card,2,4,27,The switchable graphic card is pretty sweet when you want gaming on the laptop.
498,gaming,1,58,64,The switchable graphic card is pretty sweet when you want gaming on the laptop.
499,service,0,149,156,"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome."
500,battery life,2,4,16,"The battery life has not decreased since I bought it, so i'm thrilled with that."
501,technical support,0,136,153,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support."
502,BOOT MGR,1,87,95,I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.
503,recovery cd,0,54,65,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.
504,price,2,4,9,The price and features more than met my needs.
505,features,2,14,22,The price and features more than met my needs.
506,Skype,2,0,5,Skype is just so dang cool with this machine too.
507,mouse buttons,0,4,17,the mouse buttons are hard to push.
508,HDD,2,6,9,"Also, HDD secures inside using rails, and there is only one set on the main hard drive."
509,rails,1,31,36,"Also, HDD secures inside using rails, and there is only one set on the main hard drive."
510,hard drive,1,76,86,"Also, HDD secures inside using rails, and there is only one set on the main hard drive."
511,quality,2,83,90,All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.
512,staff,0,15,20,"(Beware, their staff could send you back making you feel that only they know what a computer is."
513,Games,0,0,5,Games being the main issue.
514,GarageBand,1,63,73,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.
515,warranty,0,39,47,They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).
516,hard drive,1,55,65,They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).
517,price,0,129,134,and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.
518,home use,2,27,35,A great computer for light home use and business use.
519,business use,2,40,52,A great computer for light home use and business use.
520,updates,0,54,61,"Even with virus protection, it always turned off when updates were needed and installed."
521,MS Office apps,0,18,32,"Also consider the MS Office apps are all trial versions, hope you have your own copies."
522,feature,2,74,81,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows."
523,Windows,2,103,110,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows."
524,games,1,31,36,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows."
525,battery life,2,4,16,The battery life is amazingly long at 7hrs and 5hrs if you use it.
526,price,2,4,9,The price is another driving influence that made me purchase this laptop.
527,Nortons virus scan,0,4,22,The Nortons virus scan is only for a very short time unlike others that usually are good for a year.
528,features,2,43,51,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.
529,use,2,64,67,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.
530,loaded,2,11,17,Came fully loaded - good.
531,Windows 7,1,42,51,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system."
532,Vista,1,67,72,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system."
533,Vista,0,117,122,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system."
534,windows,1,10,17,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system."
535,Vista,1,133,138,"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista."
536,key broad,0,35,44,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is."
537,warranty,0,30,38,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered."
538,"repair ""depot""",0,47,61,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered."
539,school use,1,28,38,  But I needed a laptop for school use.
540,design,0,46,52,This is the complete opposite to an ergonomic design.
541,battery life,1,30,42,I would like at least a 4 hr. battery life.
542,programs,0,74,82,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.
543,Wireless,2,0,8,"Wireless has not been a issue for me, like some others have meantioned."
544,battery life,0,57,69,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede."
545,programs,0,102,110,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede."
546,trackpad,2,35,43,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier."
547,programs,2,88,96,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier."
548,navigating,2,49,59,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier."
549,speakers,2,60,68,I guess the only good thing that came out of these were the speakers and the subwoofer.
550,subwoofer,2,77,86,I guess the only good thing that came out of these were the speakers and the subwoofer.
551,built in camera,2,9,24,Theres a built in camera with special effects- for video and photography.
552,price,2,21,26,All for such a great price.
553,warranty,1,220,228,"  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in."
554,left mouse key,0,45,59,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.
555,costed,1,73,79,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.
556,speed,2,12,17,It has good speed and plenty of hard drive space.
557,hard drive space,2,32,48,It has good speed and plenty of hard drive space.
558,picture,2,6,13,Clear picture on it and everything.
559,extended warranty,1,45,62,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore."
560,extended warranties,1,88,107,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore."
561,battery,2,15,22,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).
562,Screen,2,0,6,"Screen is awesome, battery life is good."
563,battery life,2,19,31,"Screen is awesome, battery life is good."
564,appearance,2,46,56,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.
565,technical service for dell,0,4,30,The technical service for dell is so 3rd world it might as well not even bother.
566,graphics,0,4,12,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.
567,warranty,0,32,40,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.
568,battery,0,71,78,"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die."
569,case,2,62,66,"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy."
570,performance,1,40,51,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac."
571,price,2,79,84,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac."
572,look,2,110,114,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac."
573,speed,2,10,15,Excellent speed for processing data.
574,tech support,0,14,26,When you call tech support you were routed to someone who was in another country and did not know what they were doing.
575,gaming,2,118,124,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming."
576,use,2,22,25,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming."
577,Photoshop,2,20,29,I was taught to use Photoshop and was amazed.
578,system clock,0,12,24,Somehow the system clock got messed up after reboot.
579,securitysoftware,2,39,55,With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.
580,driver updates,0,4,18,"The driver updates don't fix the issue, very frustrating."
581,Windows,0,24,31,I will never go back to Windows!
582,work,0,10,14,It doesnt work worth a damn.
583,works,2,3,8,It works really well.
584,HD,2,7,9,"Bigger HD, better graphics card, and a bid HD."
585,HD,2,43,45,"Bigger HD, better graphics card, and a bid HD."
586,graphics card,2,18,31,"Bigger HD, better graphics card, and a bid HD."
587,built in camera,2,4,19,The built in camera is very useful when chatting with other techs in remote buildings on our campus.
588,DVD burner,0,26,36,"Mine came at $1,700 w/o a DVD burner (!)."
589,DVD burner,0,4,14,The DVD burner broke after burning 3 DVD'd during that time!
590,15 inch,2,21,28,But you must get the 15 inch.
591,Product support,0,0,15,Product support very poor as each phone call costs me long distan
592,screen,2,46,52,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves."
593,use,2,37,40,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves."
594,casing of the power cord,0,6,30,  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.
595,internet signals,0,17,33,It does not keep internet signals no matter where you bring it.
596,price,2,33,38,It's a great product for a great price!
597,right speaker,0,29,42,"Again, the same problem, the right speaker did not work."
598,software,2,101,109,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
599,updates,2,170,177,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
600,multiple page viewer,2,8,28,and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.
601,shipped,0,49,56,This was the 3rd day and part still had not been shipped.
602,Keyboard,2,0,8,Keyboard good sized and wasy to use.
603,use,2,32,35,Keyboard good sized and wasy to use.
604,quality,0,25,32,"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop."
605,features,2,10,18,wonderful features.
606,recovery disk,0,31,44,I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.
607,features,2,31,39,Im glad that it has such great features in it.
608,programs,2,13,21,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
609,Office programs,1,106,121,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
610,screen,0,58,64,"  Only a few days after I received the computer back, the screen froze again."
611,temp,0,44,48,It is not ideal for children because of the temp.
612,Windows operating system,0,27,51,Although i do believe that Windows operating system may be to fault for some of the problems.
613,processor speed,2,68,83,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port."
614,thunderbolt port,2,99,115,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port."
615,lcd screen,0,6,16,  The lcd screen stopped working on mine after 10 months.
616,Images,2,0,6,Images are crisp and clean.
617,windows vista,0,13,26,although its windows vista compared to windows xp sucks.
618,windows xp,2,39,49,although its windows vista compared to windows xp sucks.
619,Vista,0,37,42,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update."
620,Adobe Flash player,0,52,70,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update."
621,Internet Explore,0,129,145,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update."
622,switch,0,9,15,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.
623,switch,0,102,108,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.
624,4GB stick of RAM,2,51,67,"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10"
625,hardrive,0,39,47,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!
626,touch control buttons,0,71,92,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!
627,performance,2,98,109,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.
628,iLife software,2,53,67,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
629,iPhoto,2,88,94,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
630,iMovie,2,96,102,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
631,iTunes,2,110,116,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
632,GarageBand,2,118,128,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
633,runs,2,13,17,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
634,system board,0,51,63,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.
635,size,1,74,78,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find."
636,software,1,80,88,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find."
637,hardware,1,99,107,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find."
638,memory,2,17,23,"It has plenty of memory, lots of hard drive, and great graphics."
639,hard drive,2,33,43,"It has plenty of memory, lots of hard drive, and great graphics."
640,graphics,2,55,63,"It has plenty of memory, lots of hard drive, and great graphics."
641,navigation,2,77,87,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.
642,hinge,0,51,56,"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD)."
643,DELL Customer Service,0,20,41,My problem was with DELL Customer Service.
644,RMA service,2,9,20,"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday."
645,keyboard,1,26,34,It is easy to go from one keyboard to another.
646,battery life,1,15,27,Has a 5-6 hour battery life.
647,screen/video resolution,0,27,50,My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60
648,resolution,0,78,88,My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60
649,applications,1,94,106,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
650,Dreamweaver,1,6,17,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
651,Final Cut Pro 7,1,19,34,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
652,Photoshop,1,36,45,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
653,Safari,1,47,53,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
654,Firefox,1,55,62,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
655,MSN Messenger,1,64,77,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
656,warrenty,0,131,139,"  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad."
657,tech support,1,16,28,Ive had to call tech support many times.
658,Apple applications,2,4,22,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!"
659,iPhoto,2,27,33,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!"
660,gigs,0,27,31,Not to mention it has shit gigs.
661,memory,1,17,23,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners."
662,17-inch screen,1,32,46,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners."
663,CD burners,2,87,97,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners."
664,web browsing,2,66,78,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations."
665,uploading photos,2,80,96,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations."
666,watching movies,2,98,113,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations."
667,creating presentations,2,137,159,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations."
668,Quality Display,2,0,15,"Quality Display  I love HP,, it's the only computer/printer we will buy."
669,12 cell battery,2,49,64,"Despite the inconvenient weight, I opted for the 12 cell battery."
670,case,1,4,8,The case is carved out of a single block of aluminum.
671,power adapter plug,0,34,52,     First it burned or fused the power adapter plug.
672,features,2,4,12,"the features are great, the only thing it needs is better speakers."
673,speakers,0,58,66,"the features are great, the only thing it needs is better speakers."
674,TAB,0,35,38,I bought this laptop and found its TAB is not functioning.
675,extended warrenty,0,47,64,  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.
676,TFT panel,0,45,54,"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3)."
677,Navigation,2,0,10,"Navigation through the computer is far superior compared to Windows operating systems, as well."
678,Windows operating systems,0,60,85,"Navigation through the computer is far superior compared to Windows operating systems, as well."
679,screen,0,4,10,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk."
680,bulk,0,125,129,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk."
681,music software,0,31,45,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers."
682,software,2,85,93,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers."
683,picture,0,11,18,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers."
684,video,0,20,25,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers."
685,combined touch pad and clicker,0,16,46,The much lauded combined touch pad and clicker is a nightmare.
686,Unibody construction,2,4,24,"The Unibody construction is solid, sleek and beautiful."
687,value,2,50,55,This MacBook is an outstanding product with great value.
688,Windows,0,20,27,I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.
